Ref,Val,Package,PosX,PosY,Rot,Side
"C11","0.1uF (DNP)","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.206000,-115.959000,90.000000,bottom
"C12","0.1uF (DNP)","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",166.956000,-123.709000,0.000000,bottom
"C13","0.1uF (DNP)","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",120.006000,-80.209000,0.000000,bottom
"C14","0.1uF (DNP)","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.906000,-90.609000,0.000000,bottom
"C15","0.1uF (DNP)","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",106.706000,-98.709000,-90.000000,bottom
"C16","0.1uF (DNP)","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.806000,-99.659000,-90.000000,bottom
"C17","0.1uF (DNP)","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.606000,-80.509000,90.000000,bottom
"C18","0.1uF (DNP)","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.606000,-91.046500,-90.000000,bottom
"C19","0.1uF (DNP)","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.106000,-101.246500,90.000000,bottom
"C20","0.1uF (DNP)","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",167.756000,-91.596500,-90.000000,bottom
"R24","100R (DNP)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.456000,-115.959000,-90.000000,bottom
"R25","100R (DNP)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.956000,-121.209000,180.000000,bottom
"R30","100R (DNP)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.968500,-82.509000,180.000000,bottom
"R31","100R (DNP)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",108.906000,-93.009000,180.000000,bottom
"R32","100R (DNP)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",106.706000,-102.809000,-90.000000,bottom
"R33","100R (DNP)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",121.506000,-99.659000,90.000000,bottom
"R38","100R (DNP)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.106000,-80.509000,-90.000000,bottom
"R39","100R (DNP)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.256000,-90.996500,90.000000,bottom
"R40","100R (DNP)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",153.906000,-101.209000,-90.000000,bottom
"R41","100R (DNP)","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.106000,-91.759000,90.000000,bottom
