Designator,Val,Package,MidX,MidY,Rotation,Layer
"","","",174.406000,-132.209000,90.000000,top
"","","",174.406000,-112.809000,-90.000000,top
"","","",101.006000,-78.809000,-90.000000,top
"","","",174.406000,-78.809000,-90.000000,top
"","","",101.006000,-132.209000,90.000000,top
"","","",174.406000,-104.209000,90.000000,top
"","","",101.006000,-112.809000,-90.000000,top
"","","",101.006000,-104.209000,90.000000,top
"J6","Power conn","PinSocket_1x02_P2.00mm_Vertical",163.206000,-132.259000,90.000000,top
"J7","Mux Conn","PinSocket_1x04_P2.00mm_Vertical",146.206000,-131.709000,90.000000,top
"J8","Shift Reg Conn","PinSocket_1x03_P2.00mm_Vertical",110.206000,-120.609000,0.000000,top
"J9","Misc conn 1","PinSocket_1x02_P2.00mm_Vertical",109.071000,-132.659000,90.000000,top
"J10","Power conn","PinSocket_1x02_P2.00mm_Vertical",169.106000,-79.259000,90.000000,top
"J11","Button conn","PinSocket_1x08_P2.00mm_Vertical",130.256000,-79.259000,90.000000,top
"R15","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.721000,-113.709000,0.000000,top
"R16","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.921004,-112.989000,-90.000000,top
"R17","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.456000,-130.959000,0.000000,top
"R18","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",142.456000,-130.959000,180.000000,top
"R19","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",137.356000,-113.959000,0.000000,top
"R20","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.221000,-130.959000,180.000000,top
"R21","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.456000,-130.959000,180.000000,top
"R22","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.800000,-129.459000,0.000000,top
"R23","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",114.100000,-132.400000,90.000000,top
"R26","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.206000,-80.059000,0.000000,top
"R27","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",108.906000,-90.609000,0.000000,top
"R28","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.506000,-96.309000,0.000000,top
"R29","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.806000,-99.659000,-90.000000,top
"R34","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.956000,-80.359000,-90.000000,top
"R35","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.206000,-88.909000,-90.000000,top
"R36","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.306000,-101.209000,-90.000000,top
"R37","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",167.756000,-89.509000,90.000000,top
"REF**","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.837500,-128.800000,0.000000,top
"SW3","Button","SW_TL1105SPF160Q",102.706000,-122.509000,-90.000000,top
"SW4","Button","SW_TL1105SPF160Q",172.706000,-122.509000,90.000000,top
"SW5","Button","SW_TL1105SPF160Q",112.756000,-81.559000,0.000000,top
"SW6","Button","SW_TL1105SPF160Q",102.756000,-91.559000,-90.000000,top
"SW7","Button","SW_TL1105SPF160Q",112.756000,-101.559000,0.000000,top
"SW8","Button","SW_TL1105SPF160Q",122.756000,-91.559000,-90.000000,top
"SW9","Button","SW_TL1105SPF160Q",162.756000,-81.559000,0.000000,top
"SW10","Button","SW_TL1105SPF160Q",152.756000,-91.559000,-90.000000,top
"SW11","Button","SW_TL1105SPF160Q",162.756000,-101.559000,0.000000,top
"SW12","Button","SW_TL1105SPF160Q",172.756000,-91.559000,-90.000000,top
"U4","74HC595","SOP-16_3.9x9.9mm_P1.27mm",116.321000,-122.409000,180.000000,top
"U5","CL3641BH","CL3641BH",137.706000,-129.509000,0.000000,top
